Date,Open,High,Low,Close,Adj Close,Volume
01-12-2017,12.62,12.7,12.35,12.58,9.809043,52458700
04-12-2017,12.65,12.81,12.59,12.63,9.848029,39558900
05-12-2017,12.42,12.62,12.4,12.43,9.69208,45527200
06-12-2017,12.37,12.43,12.28,12.38,9.653095,28453800
07-12-2017,12.58,12.59,12.33,12.53,9.770055,25417100
08-12-2017,12.53,12.61,12.43,12.61,9.832432,21981900
11-12-2017,12.57,12.63,12.51,12.58,9.809043,44194600
12-12-2017,12.56,12.64,12.51,12.6,9.824636,54370600
13-12-2017,12.61,12.73,12.59,12.63,9.848029,31859000
14-12-2017,12.65,12.69,12.41,12.46,9.715475,37074000
15-12-2017,12.51,12.66,12.5,12.58,9.809043,48655500
18-12-2017,12.66,12.75,12.61,12.66,9.871421,25022700
19-12-2017,12.71,12.78,12.66,12.69,9.894814,23056900
20-12-2017,12.72,12.75,12.65,12.72,9.918206,18989400
21-12-2017,12.74,12.77,12.63,12.63,9.848029,21004700
22-12-2017,12.66,12.66,12.56,12.58,9.809043,17876200
26-12-2017,12.57,12.65,12.55,12.6,9.824636,11664600
27-12-2017,12.57,12.58,12.45,12.5,9.746664,17005600
28-12-2017,12.48,12.58,12.47,12.58,9.809043,14793500
29-12-2017,12.58,12.61,12.49,12.49,9.738867,18362500
02-01-2018,12.52,12.66,12.5,12.66,9.871421,20773300
03-01-2018,12.68,12.8,12.67,12.76,9.949394,29765600
04-01-2018,12.78,13.04,12.77,12.98,10.120934,37478200
05-01-2018,13.06,13.22,13.04,13.2,10.292476,46121900
08-01-2018,13.21,13.22,13.11,13.15,10.253489,33828300
09-01-2018,13.18,13.22,13.08,13.08,10.198908,27924100
10-01-2018,13.06,13.14,12.96,13.03,10.159921,56517100
11-01-2018,13.02,13.2,13,13.16,10.261287,28342300
12-01-2018,13.1,13.29,13.1,13.23,10.315867,56979200
16-01-2018,13.31,13.48,13.01,13.1,10.214504,53961400
17-01-2018,12.58,12.58,12.1,12.18,9.497148,132412500
18-01-2018,12.18,12.2,12.02,12.07,9.411379,66541700
19-01-2018,12.12,12.12,11.91,12,9.356796,51303700
22-01-2018,12.02,12.08,11.9,12.02,9.372393,52851900
